Country,Plant Name,Latitude,Longitude,Location Accuracy,Plant Type,Within_60_Miles
United States,Jim Bridger Steam Plant,41.738081,-108.786556,exact,Coal,False
United States,Jim Bridger Steam Plant,41.738081,-108.786556,exact,Coal,False
United States,John Madgett Station,44.304994,-91.9117,exact,Coal,False
United States,John Sevier Fossil Plant,36.376897,-82.963831,exact,Coal,False
United States,John Sevier Fossil Plant,36.376897,-82.963831,exact,Coal,False
United States,John Sevier Fossil Plant,36.376897,-82.963831,exact,Coal,False
United States,John Sevier Fossil Plant,36.376897,-82.963831,exact,Coal,False
United States,John Twitty Energy Center,37.150882,-93.389741,exact,Coal,False
United States,John Twitty Energy Center,37.150882,-93.389741,exact,Coal,False
United States,John W. Turk Jr. Power Plant,33.65117,-93.811666,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Johnsonville Fossil Plant,36.029775,-87.985711,exact,Coal,False
United States,Joppa Steam Plant,37.209414,-88.858164,exact,Coal,False
United States,Joppa Steam Plant,37.209414,-88.858164,exact,Coal,False
United States,Joppa Steam Plant,37.209414,-88.858164,exact,Coal,False
United States,Joppa Steam Plant,37.209414,-88.858164,exact,Coal,False
United States,Joppa Steam Plant,37.209414,-88.858164,exact,Coal,False
United States,Joppa Steam Plant,37.209414,-88.858164,exact,Coal,False
United States,Kammer Plant,39.838189,-80.818103,exact,Coal,False
United States,Kammer Plant,39.838189,-80.818103,exact,Coal,False
United States,Kammer Plant,39.838189,-80.818103,exact,Coal,False
United States,Kanawha River Plant,38.206742,-81.422903,exact,Coal,False
United States,Kanawha River Plant,38.206742,-81.422903,exact,Coal,False
United States,Karn Generating Plant,43.641447,-83.842706,exact,Coal,False
United States,Karn Generating Plant,43.641447,-83.842706,exact,Coal,False
United States,Karn/Weadock Generating Complex Expansion,43.581248,-83.883535,approximate,Coal,False
United States,Kemper Project,32.651236,-88.759028,exact,Coal,False
United States,Killen Generating Station,38.690456,-83.480742,exact,Coal,False
United States,Kincaid Generating Station,39.590881,-89.496789,exact,Coal,False
United States,Kincaid Generating Station,39.590881,-89.496789,exact,Coal,False
United States,Kraft Plant,32.149433,-81.144892,exact,Coal,False
United States,Kraft Plant,32.149433,-81.144892,exact,Coal,False
United States,Kraft Plant,32.149433,-81.144892,exact,Coal,False
United States,Kyger Creek Station,38.916236,-82.127689,exact,Coal,False
United States,Kyger Creek Station,38.916236,-82.127689,exact,Coal,False
United States,Kyger Creek Station,38.916236,-82.127689,exact,Coal,False
United States,Kyger Creek Station,38.916236,-82.127689,exact,Coal,False
United States,Kyger Creek Station,38.916236,-82.127689,exact,Coal,False
United States,Lakeside power station,39.754472,-89.603128,exact,Coal,False
United States,Lakeside power station,39.754472,-89.603128,exact,Coal,False
United States,Lansing power station,43.336936,-91.166072,exact,Coal,False
United States,Lansing power station,43.336936,-91.166072,exact,Coal,False
United States,Lansing Smith Generating Plant,30.268528,-85.700025,exact,Coal,False
United States,Lansing Smith Generating Plant,30.268528,-85.700025,exact,Coal,False
United States,Laramie River Station,42.109056,-104.880772,exact,Coal,False
United States,Laramie River Station,42.109056,-104.880772,exact,Coal,False
United States,Laramie River Station,42.109056,-104.880772,exact,Coal,False
United States,Las Brisas Energy Center,27.704264,-97.380166,approximate,Coal,False
United States,Leland Olds Station,47.28105,-101.320469,exact,Coal,False
United States,Leland Olds Station,47.28105,-101.320469,exact,Coal,False
United States,Lewis & Clark Station,47.678611,-104.158,exact,Coal,False
United States,Limestone Generating Station,31.4230278,-96.2531083,exact,Coal,False
United States,Limestone Generating Station,31.4230278,-96.2531083,exact,Coal,False
United States,Limestone Generating Station,31.418889,-96.256389,exact,Coal,False
United States,Longleaf power station,31.29563,-84.87109,approximate,Coal,False
United States,Louisa Generating Station,41.318022,-91.093339,exact,Coal,False
United States,Lumberton Power Plant,34.590221,-78.996542,exact,Coal,False
United States,Major Oak power station,31.093083,-96.696192,exact,Coal,False
United States,Major Oak power station,31.093083,-96.696192,exact,Coal,False
United States,Marion Plant,37.619681,-88.952919,exact,Coal,False
United States,Marion Plant,37.619681,-88.952919,exact,Coal,False
United States,Marion Plant,37.619681,-88.952919,exact,Coal,False
United States,Marion Plant,37.619681,-88.952919,exact,Coal,False
United States,Martin Lake Steam Station,32.259758,-94.570514,exact,Coal,False
United States,Martin Lake Steam Station,32.259758,-94.570514,exact,Coal,False
United States,Martin Lake Steam Station,32.259758,-94.570514,exact,Coal,False
United States,McIntosh Steam Plant,32.356714,-81.167719,exact,Coal,False
United States,Meredosia power station,39.823269,-90.5672,exact,Coal,False
